校区,开课学院,课程代码,课程名称,任课教师,班级名称,人数,考试时间,教室名称,备注
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,陈宗章,B120204,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,陈宗章,B120701,2,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,陈宗章,B120703,2,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,褚毅平,B111005,3,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,褚毅平,B111401,1,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,何金海,B120301,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,何金海,B120401,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,何金海,B120402,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,何金海,B120403,7,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,金其武,B111001,2,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,金其武,B111002,1,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,金其武,B111003,1,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900031S,中国近现代史纲要,金燕,B110506,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,赖风,B110506,1,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,赖风,B110507,3,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,赖虹,B120906,2,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,赖虹,B120907,1,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,赖虹,B111109,4,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,赖虹,B111110,2,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,赖虹,B111111,4,2014年08月29日(13:30-15:20),教2－301,
三牌楼,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,李朝祥,B111101,2,2014年08月29日(13:30-15:20),图6,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,李咏梅,B110503,1,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900032S,中国近现代史纲要,李玉胜,B130501,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,B0900032S,中国近现代史纲要,李玉胜,B130504,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,刘振辞,B120101,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900031S,中国近现代史纲要,鹿晓红,B121302,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,B0900032S,中国近现代史纲要,毛德松,B131201,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,孙景珊,B120414,3,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,孙景珊,B120415,4,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,孙景珊,B121114,1,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,孙景珊,B121115,1,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,B0900032S,中国近现代史纲要,唐秀平,B130509,1,2014年08月29日(13:30-15:20),教2－202,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪洋,B120407,2,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪洋,B120704,3,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪洋,B120705,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪洋,B120706,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪业周,B120107,2,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,汪业周,B120108,1,2014年08月29日(13:30-15:20),教2－302,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,王松华,B121125,1,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,王松华,B121203,18,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,王松华,B121205,12,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,R00017015,毛泽东思想和中国特色社会主义理论体系概论,王松华,B121206,1,2014年08月29日(13:30-15:20),教2－300,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,王松华,B110801,8,2014年08月29日(13:30-15:20),教2－301,
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,王松华,B110802,6,2014年08月29日(13:30-15:20),教2－301,
