校区,开课学院,课程代码,课程名称,学号,考试时间,考试地点
仙林,理学院,H0600031S,线性代数与解析几何,10004124,2014年02月22日(13:30-15:20),教2-209
仙林,电子科学与工程学院,H0204111S,电磁场与传输理论,11002027,2014年02月20日(18:30-20:20),教2-400
仙林,理学院,H0600011S,高等数学AⅠ,11002206,2014年02月21日(18:30-20:20),教3-309
仙林,理学院,H0600031S,线性代数与解析几何,11002206,2014年02月22日(13:30-15:20),教2-209
仙林,理学院,H0600011S,高等数学AⅠ,11002217,2014年02月21日(18:30-20:20),教3-309
仙林,理学院,H0600031S,线性代数与解析几何,11002217,2014年02月22日(13:30-15:20),教2-209
仙林,理学院,H0600031S,线性代数与解析几何,11005030,2014年02月22日(13:30-15:20),教2-209
仙林,通信与信息工程学院,B0200031S,信号与系统A,B06020517,2014年02月19日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0211101S,电视原理,B06020517,2014年02月18日(16:00-17:50),教2-301
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B06020517,2014年02月20日(18:30-20:20),教2-209
仙林,理学院,B0600011S,高等数学A(上),B06020517,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600031S,线性代数与解析几何,B06020517,2014年02月22日(13:30-15:20),教2-101
仙林,理学院,B0600041S,数理方程,B06020517,2014年02月17日(18:30-20:20),教2-209
仙林,理学院,B0600321S,大学物理(下),B06020517,2014年02月22日(10:25-12:15),教2-101
三牌楼,理学院,B0600011S,高等数学A(上),B06020612,2014年02月21日(18:30-20:20),图7
仙林,电工电子实验教学中心,B1100011S,电工电子实验（一）,B06022317,2014年02月18日(18:30-20:20),教3-216
三牌楼,通信与信息工程学院,B0209043S,信息论基础C,B06022634,2014年02月18日(16:00-17:50),图7
三牌楼,计算机学院,B0300011S,高级语言程序设计,B06022634,2014年02月21日(16:00-17:50),图7
仙林,计算机学院,B0301072S,微型计算机接口技术,B06030910,2014年02月22日(18:30-20:20),教2-300
仙林,理学院,B0600321S,大学物理(下),B06030910,2014年02月22日(10:25-12:15),教2-101
仙林,计算机学院,B0300051S,数据结构A,B06031111,2014年02月18日(18:30-20:20),教3-300
